PamHaleN,82,2012-11-07 20:22:41 -0500,1352337761
picocurie,90,2012-11-07 20:22:46 -0500,1352337766
Manamepiphany,83,2012-11-07 20:22:52 -0500,1352337772
Sushi_kitty,73,2012-11-07 20:22:57 -0500,1352337777
cwombat,93,2012-11-07 20:23:03 -0500,1352337783
Fructose7,83,2012-11-07 20:23:08 -0500,1352337788
Callmekeira,79,2012-11-07 20:23:13 -0500,1352337793
rousette,86,2012-11-07 20:23:19 -0500,1352337799
ms_wiley,88,2012-11-07 20:23:24 -0500,1352337804
burntmarshmelow,68,2012-11-07 20:23:30 -0500,1352337810
cloudyzooom,75,2012-11-07 20:23:35 -0500,1352337815
lulu_chalupa,79,2012-11-07 20:23:41 -0500,1352337821
ADudek,88,2012-11-07 20:23:46 -0500,1352337826
ltho23,72,2012-11-07 20:23:52 -0500,1352337832
jeunething,85,2012-11-07 20:23:58 -0500,1352337838
virtueturnsvice,83,2012-11-07 20:24:03 -0500,1352337843
dimanche342,88,2012-11-07 20:24:09 -0500,1352337849
VelvetandSuede,88,2012-11-07 20:24:14 -0500,1352337854
lingzuma,77,2012-11-07 20:24:20 -0500,1352337860
soundstress,85,2012-11-07 20:24:25 -0500,1352337865
ghostxbaby,91,2012-11-07 20:24:31 -0500,1352337871
fire5ly,75,2012-11-07 20:24:36 -0500,1352337876
palimpsestus,69,2012-11-07 20:24:42 -0500,1352337882
3_42pm,93,2012-11-07 20:24:47 -0500,1352337887
snowspartan,76,2012-11-07 20:24:53 -0500,1352337893
derangedQ,87,2012-11-07 20:24:58 -0500,1352337898
alexgen,81,2012-11-07 20:25:04 -0500,1352337904
ohmyskoobydoo,86,2012-11-07 20:25:09 -0500,1352337909
IncorporableGal,94,2012-11-07 20:25:15 -0500,1352337915
skybits,68,2012-11-07 20:25:20 -0500,1352337920
xnaughtykittenx,92,2012-11-07 20:25:26 -0500,1352337926
theEisnotsilent,89,2012-11-07 20:25:31 -0500,1352337931
ilikeyoumaude,86,2012-11-07 20:25:37 -0500,1352337937
foureyedfuried,89,2012-11-07 20:25:42 -0500,1352337942
sboos24,78,2012-11-07 20:25:48 -0500,1352337948
KCupidLetsDance,75,2012-11-07 20:25:53 -0500,1352337953
RosanaTheSelkie,89,2012-11-07 20:25:59 -0500,1352337959
urhumantoo,79,2012-11-07 20:26:04 -0500,1352337964
NiftyCupcaKe,83,2012-11-07 20:26:10 -0500,1352337970
440herz,83,2012-11-07 20:26:15 -0500,1352337975
Mhs1437,91,2012-11-07 20:26:21 -0500,1352337981
lauren_005,69,2012-11-07 20:26:26 -0500,1352337986
Morrgain,88,2012-11-07 20:26:32 -0500,1352337992
theoremsforfree,82,2012-11-07 20:26:38 -0500,1352337998
human_meat,90,2012-11-07 20:26:43 -0500,1352338003
southerngirl413,66,2012-11-07 20:26:49 -0500,1352338009
Frecasaurus,70,2012-11-07 20:26:54 -0500,1352338014
KatosaurusRex,91,2012-11-07 20:27:00 -0500,1352338020
Malenkaya_Sova,80,2012-11-07 20:27:05 -0500,1352338025
LauraRuth,88,2012-11-07 20:27:11 -0500,1352338031
femm123,88,2012-11-07 20:27:17 -0500,1352338037
trillviaplath,81,2012-11-07 20:27:22 -0500,1352338042
Sapphira603,86,2012-11-07 20:27:27 -0500,1352338047
pumpkin_dreams,93,2012-11-07 20:27:33 -0500,1352338053
sexxxyone24,86,2012-11-07 20:27:39 -0500,1352338059
intheclouds9,86,2012-11-07 20:27:44 -0500,1352338064
raccha,83,2012-11-07 20:27:50 -0500,1352338070
staragze84,95,2012-11-07 20:27:55 -0500,1352338075
DrZaiusDrZaius,87,2012-11-07 20:28:01 -0500,1352338081
madisonmcevoy,67,2012-11-07 20:28:06 -0500,1352338086
Fenarito,71,2012-11-07 20:28:12 -0500,1352338092
Gypseaa,91,2012-11-07 20:28:17 -0500,1352338097
mmeghannn,69,2012-11-07 20:28:23 -0500,1352338103
laura0926,87,2012-11-07 20:28:28 -0500,1352338108
bholliday,77,2012-11-07 20:28:34 -0500,1352338114
kasechase,74,2012-11-07 20:28:39 -0500,1352338119
Malenkaya_Sova,80,2012-11-07 20:28:45 -0500,1352338125
rideau01,92,2012-11-07 20:28:50 -0500,1352338130
lpc23,74,2012-11-07 20:28:56 -0500,1352338136
shakeyourkittyx,94,2012-11-07 20:29:01 -0500,1352338141
Celloable,68,2012-11-07 20:29:07 -0500,1352338147
annemagdalenne,90,2012-11-07 20:29:13 -0500,1352338153
release-the-bat,88,2012-11-07 20:29:18 -0500,1352338158
lauren_005,69,2012-11-07 20:29:24 -0500,1352338164
Amaltheas,66,2012-11-07 20:29:29 -0500,1352338169
kan0021,78,2012-11-07 20:29:35 -0500,1352338175
BriMRoberge,74,2012-11-07 20:29:41 -0500,1352338181
yosoyleah,87,2012-11-07 20:29:46 -0500,1352338186
jessstein,77,2012-11-07 20:29:52 -0500,1352338192
NewRoma,74,2012-11-07 20:29:57 -0500,1352338197
HeyItsKerri,94,2012-11-07 20:30:03 -0500,1352338203
jaiaa,88,2012-11-07 20:30:09 -0500,1352338209
Lauraconteuse,87,2012-11-07 20:30:14 -0500,1352338214
BlondeAbroad,68,2012-11-07 20:30:20 -0500,1352338220
iconol,76,2012-11-07 20:30:26 -0500,1352338226
AmusedAbsurdity,96,2012-11-07 20:30:31 -0500,1352338231
bitch_cake,87,2012-11-07 20:30:37 -0500,1352338237
daft_funk,85,2012-11-07 20:30:42 -0500,1352338242
pixielady560,80,2012-11-07 20:30:48 -0500,1352338248
MaryAurora,63,2012-11-07 20:30:53 -0500,1352338253
MissMetalMimosa,81,2012-11-07 20:30:59 -0500,1352338259
Mgn1987,89,2012-11-07 20:31:04 -0500,1352338264
aligrrr,90,2012-11-07 20:31:10 -0500,1352338270
MaureenInaBox,90,2012-11-07 20:31:15 -0500,1352338275
thedirgni,87,2012-11-07 20:31:21 -0500,1352338281
Cup_oh_Tea,66,2012-11-07 20:31:26 -0500,1352338286
eternalcow,80,2012-11-07 20:31:32 -0500,1352338292
scarletesk,92,2012-11-07 20:31:38 -0500,1352338298
tinajayy,70,2012-11-07 20:31:43 -0500,1352338303
Gypseaa,91,2012-11-07 20:31:49 -0500,1352338309
Ladystardust24,76,2012-11-07 20:31:54 -0500,1352338314
blondenic,70,2012-11-07 20:32:00 -0500,1352338320
chelsbell14,88,2012-11-07 20:32:05 -0500,1352338325
emyaff,75,2012-11-07 20:32:11 -0500,1352338331
pumpkin_dreams,93,2012-11-07 20:32:17 -0500,1352338337
BitingBullets,90,2012-11-07 20:32:22 -0500,1352338342
Phylidia,81,2012-11-07 20:32:28 -0500,1352338348
DarkRedSyren,91,2012-11-07 20:32:33 -0500,1352338353
eightyfive,83,2012-11-07 20:32:39 -0500,1352338359
gypsyonfire,85,2012-11-07 20:32:44 -0500,1352338364
watermelontrout,82,2012-11-07 20:32:50 -0500,1352338370
phlogisticator,93,2012-11-07 20:32:55 -0500,1352338375
ADudek,88,2012-11-07 20:33:01 -0500,1352338381
Cliffypants,95,2012-11-07 20:33:07 -0500,1352338387
jk1310,80,2012-11-07 20:33:12 -0500,1352338392
tricia08,64,2012-11-07 20:33:18 -0500,1352338398
theEisnotsilent,89,2012-11-07 20:33:23 -0500,1352338403
bess_intentions,81,2012-11-07 20:33:29 -0500,1352338409
ErElAnFo,67,2012-11-07 20:33:34 -0500,1352338414
luckyduckie1,77,2012-11-07 20:33:40 -0500,1352338420
uhhuhoksure,82,2012-11-07 20:33:46 -0500,1352338426
MaureenInaBox,90,2012-11-07 20:33:52 -0500,1352338432
sophsoccer10,72,2012-11-07 20:33:57 -0500,1352338437
Brooklyn2Boston,76,2012-11-07 20:34:03 -0500,1352338443
clementinetime,75,2012-11-07 20:34:08 -0500,1352338448
tiana826,86,2012-11-07 20:34:14 -0500,1352338454
